purple egg thing	紫色蛋形物
"Now, if you'd only been smart enough to bring along the data cartridge containing the construction specifications, we'd be able build a new Star Generator, thereby saving Xenon from the horrors of a rapidly cooling planet. Oh, well. You are just a janitor."	「唉，早知道你腦筋夠靈光，把裝有建造規格的資料匣一起帶回來就好了，我們就能打造一台新的星辰產生器，讓氙星免於行星急速冷卻的浩劫。算了，你也不過是個清潔工嘛。」
"It is my honor to present you with the coveted Golden Mop, a symbol of pride and accomplishment to members of your esteemed profession."	「我很榮幸能將這個人人夢寐以求的金拖把頒發給你，這是你這個崇高職業引以為傲的成就象徵。」
"Henceforth and for all time you will be known as Hero of Xenon."	「從此刻起，直到永遠，你將被尊稱為氙星英雄。」
green bldg	綠色建築
two guys	兩個傢伙
blue bldg	藍色建築
apartment buildings	公寓大樓
guy 1	傢伙1
bubbleGum chewer	嚼口香糖的傢伙
guy 2	傢伙2
clark Kent	克拉克·肯特
This is your head. (Didn't you learn this stuff a real long time ago?)	這是你的頭。（這種常識你不是很久以前就該學過了嗎？）
This button allows you to exit this screen.	按這個按鈕可以離開這個畫面。
droid arm	機器人手臂
You see a data cartridge clasped in the droid's manipulator.	你看到機器人的操縱臂夾著一個資料匣。
cracked monitor	破裂的螢幕
data computer	資料電腦
This is the Data Retrieval console.	這是資料擷取主控台。
control panel	控制面板
This is the control panel for the Data Retrieval console.	這是資料擷取主控台的控制面板。
These are some highly decorative illumination devices for the console.	這些是主控台上裝飾用的照明裝置，挺花俏的。
It's you and you're darned handsome if you do say so yourself.	是你自己，而且說句實話，你長得還真帥。
Buttons reside here. You hate buttons. They confuse you so.	這裡有一堆按鈕。你討厭按鈕，它們總是把你搞得一頭霧水。
Enter a Code Sequence to retrieve Data cartridges.	請輸入一組代碼，以取得資料匣。
These buttons allow you to enter a code into the computer.	這些按鈕可以讓你把代碼輸入電腦。
Enter	輸入
This button confirms entry of the code you keyed-in and begins the search for the corresponding cartridge.	按下這個按鈕可以確認你輸入的代碼，並開始搜尋對應的資料匣。
Press this button if you want to turn the keypad off.	如果想關掉這組鍵盤，按這個按鈕。
Dialog	對話框
Controls	控制項
There are a couple of non-galactic looking humanoids cranking out some unfamiliar sounding tunes. They seem interested solely in the music they are performing.	有兩個看起來一點都不像外星人的傢伙，正賣力演奏著讓人聽不慣的曲子。他們似乎只在乎自己演奏的音樂，其他一概不管。
On stage, a strangely attired woman performs her act (if that's what you want to call it). You haven't had a girlfriend for a long time (more like forever), but even that's not enough to make her attractive.	舞台上有個打扮怪異的女人正在表演（如果那也算表演的話）。你已經很久沒交過女朋友了（老實說，根本是永遠沒有過），但就算這樣，還是沒辦法讓她看起來有吸引力。
On stage are two heavily-bearded gents and a relatively clean-shaven drummer. They're one of the hottest bands in the quadrant.	舞台上有兩個大鬍子先生和一個算是有刮鬍子的鼓手。他們可是這個星區裡數一數二紅的樂團。
slot guy	賭客
Some strange, blue dude currently monopolizes the Slots-O-Death machine.	一個古怪的藍皮傢伙正霸佔著死亡吃角子老虎機不放。
The escape pod is destined to remain a monument to your visit.	這艘逃生艙注定要成為你造訪此地的紀念碑。
Please enter a Navigational Code Sequence to allow course plotting.	請輸入導航代碼，才能規劃航線。
9:vr	9:vr
Sarien	沙利安人
countdown window	倒數計時視窗
elevator shaft	電梯井
This is an elevator shaft. Elevators are known to have traveled these parts, mostly up and down.	這是電梯井。這一帶原本就有電梯行駛，大多是上上下下的。
This is an elevator shaft.	這是電梯井。
