The fuel supply has expired.	燃料已經耗盡了。
You can't get that now.	你現在拿不到那個。
Nice lights, huh?	燈光不錯吧？
This is a radar used by the Autonav system.	這是自動導航系統用的雷達。
This button WASN'T to be pushed at anytime. Now that it's dead go crazy and push away.	這顆按鈕本來說什麼都不准按。不過反正它現在壞了，你要按幾下都隨便你。
This is the power button for the escape pod.%s	這是逃生艙的電源開關。%s
Erosion has drilled a small hole into the side of this section of vertebrae. What could be in there?	風化侵蝕在這節脊椎骨的側面鑽出一個小洞，裡面會有什麼呢？
You don't have time for that. You're much too busy running for your life currently.	你沒空做這個，現在你正忙著逃命呢。
This hole isn't of the edible variety.	這個洞不是可以吃的那種。
The dark hole merely echoes your wondrous words.	這個漆黑的洞只是把你的金玉良言原封不動地回音給你聽。
You pick up a faint scent of something organic. Maybe there's someone else on this Ken-forsaken planet.	你聞到一絲若有似無的有機物氣味，說不定這顆被肯拋棄的鬼行星上還有別人。
Being in closer proximity would be helpful.	再靠近一點會比較有幫助。
Cautiously, you decide to investigate further.	你小心翼翼地決定再深入調查看看。
That should teach you not to be messing around in strange holes.	這下你該學乖了，別亂摸奇怪的洞。
It's the hole you were jettisoned from when you were expelled from the cavern area.	這就是你被逐出洞穴區時，被彈射出來的那個洞。
The cave is very small and empty, not unlike your grey matter.	這個洞穴又小又空，跟你的腦袋倒是挺像的。
There's nothing you can do as there is no visible means of entry.	這裡看不到任何入口，你什麼都做不了。
Your shout produces no response.	你大喊了一聲，什麼回應都沒有。
It smells empty.	聞起來空空的。
It tastes calcium-rich.	嚐起來鈣質豐富。
I'd say that the widening of those cracks is an excellent indication that this thing is not a truly stable unit. And don't you hate the way it makes your brain bounce around like a handball in all that spare cranial space?	我看這些裂縫越裂越大，正好說明這東西一點也不穩固。而且你不覺得討厭嗎，你的腦袋在那一大片空蕩蕩的顱腔裡晃來晃去，活像顆手球。
No doubt about it! There's going to be an accident (of one kind or another) on this shaky piece of calcium-rich matter.	肯定沒錯！這塊搖搖欲墜的鈣化骨頭，遲早會出點什麼意外。
You've always got to push things to the limit, don't you? We warned you, but NO! YOU had to do it just one more time. Well, just wait 'til your father gets home!	你就是什麼事都要玩過頭，對吧？我們警告過你了，但是不行！你偏偏要再來一次。好啊，等你老爸回家有你好看的！
If nothing else, it makes a pleasant thud.	至少，它摔下去的聲音還挺悅耳的。
It was not known that you are a master of the protrusion toss! That was a fine effort.	沒想到你是丟骨頭高手！這一手真漂亮。
It's the snapped spinal protrusion you dislodged - resulting in its present position on the sand.	這是你弄斷、震落的脊椎骨凸起物，就這樣掉在沙地上了。
It must be a snapped spinal protrusion just sitting here, without, as yet, having succumbed to the nearly unresistable attraction of gravity.	這根斷裂的脊椎骨凸起物就這麼卡在這，還沒被幾乎無法抗拒的重力給拉下去。
You've done all the relocation of this thing that your limited physique is capable of.	憑你這身有限的力氣，這東西能移動的部分，你都搬完了。
I'll bet that if you COULD reach it from here, you WOULD pull that sucker down on your very own head.	我敢說如果你搆得到，你一定會把這東西拉下來砸在自己頭上。
Hmm. It smells like a smashed vertebral protrusion. Of course, you're not a leading expert on the subject, so you might want a second opinion.	嗯……聞起來像是斷裂的脊椎骨凸起物。當然啦，你又不是這方面的權威專家，最好找個人再確認一下。
Hmm. It smells like a vertebral protrusion you once knew.	嗯……聞起來像是你曾經認識的那根脊椎骨凸起物。
Not much to report aurally.	聽覺上沒什麼好報告的。
Gee! I thought everybody knew what sun-dried gigundasaurus bone smelled like.	哎呀！我還以為大家都知道曬乾的超巨龍骨頭聞起來是什麼味道呢。
It would be like licking a dehydrated peach pit.	感覺就像在舔一顆脫水的桃核。
The only talking ribs you'll ever see are in fast-food commercials.	你這輩子唯一會看到會講話的排骨，大概只有速食廣告裡那種。
These teeth are in to stay.	這些牙齒是拔不下來的。
Many years of sandblasting by the Keronian elements have given the skull a smooth finish.	柯羅娜星多年來的風沙洗禮，把這顆頭骨磨得光滑無比。
Check out the claws on this sucker. We're talking major manicure action. Can't you imagine what it must have been like to serve as one of many hundreds of live meals the gigundasaurus must have shredded and refined internally in it's lifetime.	看看這傢伙的爪子，修剪起來可是一大工程。你能想像當年身為超巨龍一生中撕碎、消化的成百上千頓活體大餐之一，會是什麼滋味嗎？
Can't you just feel the points of those talon-like claws slowly pressing through the thin outer-armour we call skin, popping through and separating ribs, and pushing aside anything it didn't pierce on the way, only to meet mid-torso.	你能感覺到那尖銳的爪尖，慢慢刺穿我們稱之為皮膚的那層薄薄外殼，一路戳破、撐開肋骨，把沿途沒刺穿的東西都推開，最後在軀幹中央會合嗎。
The claws are much too large - not to mention much too deep in the sand - for you to do anything with.	這爪子太大了，而且埋在沙裡太深，你拿它一點辦法也沒有。
Even without the fleshy matter which once enveloped parts of this claw, it won't be moving as a result of anything you could do.	就算包覆這爪子的血肉早已不在，它也不會因為你做什麼而移動半分。
You notice a fine spray of glistening, metallic jelly decorating the walls. Otherwise, it's still the same old homey cave-in-a-skull.	你注意到牆上濺了一層亮晶晶的金屬色黏液，除此之外，這還是那個熟悉又溫馨的頭骨山洞。
This skull makes a darn comfortable little cave if you ignore the disturbing human-size remains in the back.	只要別看後面那些令人不安、跟人差不多大的殘骸，這顆頭骨其實是個挺舒服的小山洞。
You shiver at the sight of the spider droid entering the cave on its spindly legs. The cold metallic body searches for something to get up close and personal with. This could be interesting.	看到蜘蛛機器人踩著細長的腳走進洞裡，你不禁打了個寒顫。那冰冷的金屬軀體正在找東西親密接觸，這下有意思了。
Now THAT was cool! That killed two problems with no stones.	這下真是帥呆了！一顆石頭都沒用，就順便解決了兩個麻煩。
Orat, always in the mood for a snack, snatches the can out of the air with his spacious oral cavity, chews and swallows it. He notices a rumbling deep within his abdomen.	永遠都有心情吃點心的歐拉特，張開他那寬敞的大嘴把罐子從空中接住，嚼一嚼就吞下肚，接著他注意到肚子深處傳來一陣咕嚕聲。
It's too late for that! You'd best jam!!	現在做什麼都太遲了！你最好拔腿就跑！！
OH, NOOOOO!!!	喔，不——！！！
Orat has transformed you into a new piece of recreational equipment. Along with finding this treatment extremely rude, you don't survive it.	歐拉特把你變成了一件全新的休閒器材。這種待遇不但沒禮貌到極點，你也沒能活著撐過去。
It's tough to make friends around here. Relax, stretch out, restore, and let's get back to it. There's adventuring to be done!	在這裡交朋友還真不容易。放輕鬆，伸展一下筋骨，讀取存檔，我們重新來過。還有冒險等著你呢！
It's too late for that now. Orat has already tuned his taste buds to your flavor frequency!	現在做什麼都太遲了，歐拉特的味蕾已經鎖定你的頻率了！
That thing? The knife can barely cut through rancid grell lard, much less the thick hide of Orat.	那把刀？它連臭酸的格瑞爾油脂都快切不動了，更別說歐拉特那身厚皮。
You think you can buy this guy off? HA!	你以為能用錢打發這傢伙？哈！
The data cartridge seems to strike the orat as a big so what.	這個資料匣，歐拉特看了完全是一副「所以呢」的表情。
The widget does not appear edible to the big smelly monster. On the other hand, you do.	這個小裝置看起來不像能讓這隻臭烘烘的大怪物下嚥，不過你看起來倒是可以。
Growwwwrrrr! Hmmm. Sounds the same in any language, doesn't it.	嗚嗚嗚嗚嗷嗚——！嗯，看來不管什麼語言，聽起來都一樣呢。
Throwing him your survival kit does not seem the best strategy for your survival.	把求生包丟給牠，好像不是什麼保命的好招。
Does he look like a vegatarian to you?	你看牠像素食主義者嗎？
Though normally known for his intellectually stimulating conversation in the monster and beast community, Orat seems limited to grunts in the way of response to your probing questions.	雖然歐拉特在怪物與野獸界向來以談吐風趣、發人深省聞名，但面對你追根究柢的提問，他似乎只會發出哼哼聲回應。
The stench? Phew! Not even a text adventure would attempt that description.	那股臭味？呼！就連文字冒險遊戲都不敢形容那是什麼味道。
You wouldn't want to do that. From the stench, you can make an educated guess, and it isn't a pleasant one.	你不會想這麼做的。光聞那股臭味，你大概猜得到答案，而且絕對不是什麼好答案。
You reach down and take the Orat part in your hand. Some of it oozes to fill the space between your fingers.	你伸手拿起那塊歐拉特的殘骸，有些黏液滲出來，填滿了你指縫間的空隙。
You notice a fine spray of glistening, metallic jelly decorating the walls.	你注意到牆上濺了一層亮晶晶的金屬色黏液。
The walls are blank. This place could use some sprucing-up. Perhaps a nice little wall hanging or a velvet Elvis painting could warm the look of the place a bit.	牆上光禿禿的，這地方需要好好裝飾一下。掛幅小壁飾，或是那種俗豔的貓王絨布畫，說不定能讓這裡看起來溫馨一點。
There's nothing on the walls that you want or need.	牆上沒有你想要或需要的東西。
Just leave those depressing remnants of unfortunate explorers alone, will you?	那些倒楣探險者留下的悲哀殘骸，你就別去碰了吧？
They have surprisingly little to say. And if they did, would you really want to stay around to listen.	牠們其實沒什麼好說的。就算有，你真的會想留下來聽嗎。
While you might be in the mood for a little skull, you've got more important business to tend to.	就算你現在很想把玩一下這顆頭骨，也還有更重要的事等著你去辦。
Any scent these skulls may once have had is long gone, compliments of the the incredibly hot, dry climate.	這些頭骨原本可能有的氣味，早就被這裡酷熱乾燥的氣候徹底消滅了。
You have trouble moving your own carcass around. You sure can't move something that weighs several times more than you. Besides, you left your truss back on the Arcada.	你連自己這副身子都搬得吃力，更別說搬動比你重上好幾倍的東西了。而且你的護腰工具還留在阿寇達號上呢。
No odor is detectable.	偵測不到任何氣味。
You've tasted better.	你嚐過更好吃的東西。
While potentially an even conversational match for you, the rock has no speech mechanism.	雖然論聊天程度，這塊石頭搞不好跟你不相上下，但它畢竟沒有發聲構造。
Other than the cave's special aroma, you smell nothing.	除了洞穴特有的那股味道，你什麼都聞不到。
Give it a rest. It's going to be raw soon.	夠了啦，再這樣下去要磨到又紅又痛了。
Nothing to do there.	那裡沒什麼好做的。
Your words echo about the cavern, apparently not destined to fall on the ears of others.	你的話在洞穴裡迴盪，看來注定沒有別人聽得見。
It smells like a musty old cave. They need Cave-B-Nu(tm).	聞起來像個發霉的舊山洞，這裡真該噴點「山洞芳新(tm)」。
Nothing worth tasting there.	那裡沒什麼值得嚐的。
Having an adequate personal collection of natural Keronian adhesive, you choose to leave this sticky gunk where it is.	你自認已經收藏了足夠的天然柯羅娜黏膠，於是決定讓這坨黏稠物待在原地。
This stalagmite has obviously been broken loose previously and set back in place.	這根石筍顯然先前已經被折斷過，後來又被放回原位。
The being responsible - most likely your Keronian counterpart - tried to fool everyone else by using some sticky gunk to hold it together. (Like that would actually fool anyone!.)	始作俑者——很可能是你在柯羅娜星的同類——想用黏稠物把它黏回去，藉此矇騙大家。（好像真的有人會被騙一樣！）
You've already taken the stalagmite.	你已經拿走這根石筍了。
You almost wish you had a table or breadboard to sand.	你幾乎希望手邊有張桌子或砧板可以拿來磨一磨。
You flex those incredible muscles you wish you had, but you're barely able to snap loose the previously fractured stalagmite tip.	你使出想像中那身驚人的肌肉，好不容易才把早已裂開的石筍尖端折斷。
I'll bet you're getting to truly hate this elevator.	我敢說你現在對這台電梯已經恨之入骨了吧。
Hey! What's the deal here?! That elevator doesn't lower - it sucks!	嘿！這是怎麼回事？！這台電梯才不是慢慢降下去——它是用吸的把你吸下去！
Although you imagine yourself a buff individual, you could effect no change in the tube door.	雖然你自認一身肌肉，但你對這扇管道門完全起不了作用。
With professional pride, you observe that the door polish these guys use tastes different than your favorite brand.	你帶著職業般的自豪發現，這些傢伙拿來擦門的亮光劑，嚐起來跟你愛用的牌子不一樣。
The scent of Berzzleweeze Berry rises to be sampled olifactorally. Must be their polish.	一股「博茲莓」的香氣飄了上來，供你的鼻子品鑑一番，想必是他們用的亮光劑味道。
These are stalagmites. They stand silently, just as they have done for so many centuries.	這些是石筍，它們幾世紀以來都是這樣靜靜地佇立著。
They are as solid as rocks and resistant to any manipulation.	它們跟石頭一樣堅固，任你怎麼弄都不為所動。
It said to tell you that it's in a meeting and won't be out all day. Please check again in another version or two.	它要我轉告你，它現在在開會，一整天都不會出來。麻煩你等下一兩個版本後再來看看。
