This must be the chair you sit in to operate the computer.	這應該是操作電腦時坐的椅子。
"Grell and his like dwell in caves below the sand. If you stand on the surface too long, you chance becoming a rare moist meal for him."	「格瑞爾跟他的同類住在沙地底下的洞穴裡。你要是在地表站太久，很可能就會變成他難得一見的『多汁大餐』。」
"The skimmer is programmed to take you to a settlement on the other side of Kerona called Ulence Flats. You can make further travel arrangements there."	「這台沙漠飛車已經設定好，會載你到柯羅娜星另一頭一個叫尤倫斯荒原的聚落。你可以到那裡再安排後續的行程。」
"I am sorry this is all we can offer. I hope your trip is a safe one. Board the skimmer when you are ready to depart. Good luck, strange one."	「很抱歉我們能提供的就只有這些。祝你一路平安，準備好了就上飛車出發吧。祝你好運，異鄉人。」
This gauge tells the amount of damage done to the skimmer.	這個儀表顯示沙漠飛車受損的程度。
exhaust fumes	廢氣
ship's hatch	太空船艙門
This is the door of the escape pod. Due to its special design, the door retained a reserve cache of power sufficient to open one more time. Now, however, it will no longer function.	這是逃生艙的艙門。因為設計特殊，門上留了一份備用電力，剛好夠再開一次——不過現在已經完全報銷了。
piece of glass	玻璃碎片
A chunk of the highly reflective windscreen rests on the sand at the front of the pod. It, along with your teeth, was jarred loose as a result of the the landing's impact.	一塊反光度極高的擋風玻璃碎片，散落在逃生艙前方的沙地上。降落時的衝擊力道，把它跟你的牙齒一起震了下來。
emergency survival kit	緊急求生包
pod's hull	逃生艙外殼
The hull of the pod has an exquisite sheen. Too bad it is destined to remain a monument to your visit.	逃生艙的外殼有種精緻的光澤，可惜它注定要變成你這趟造訪的紀念碑。
This is the entry way to the pod.	這是通往逃生艙的入口。
ridge's edge	沙脊邊緣
Your highly-honed preservation instincts tell you that going near the edge would be disasterous.	你那身經百戰的求生本能告訴你，靠近邊緣絕對沒好下場。
pod's windshield	逃生艙擋風玻璃
pod's engines	逃生艙引擎
The engines seem to have performed their jobs well. They will now stand silent for eternity.	這些引擎似乎盡忠職守地完成了任務，接下來就要永遠沉寂下去了。
The rocks lying on the ground here are made of crumbling sandstone.	地上散落的這些石頭，是一碰就碎的砂岩。
This ridge of sand helped stop the pod.	這道沙脊幫忙擋住了逃生艙。
In the distance rises a unique formation of mountains. They look to be hundreds of kilometers away.	遠方矗立著一片造型奇特的山脈，看起來離這裡有好幾百公里遠。
Guess what? More sand! Do you have any idea where you're headed?	你猜怎麼著？還是沙子！你知道自己要往哪走嗎？
OK! Let's go take a look at those beauties!	好！走，去瞧瞧那些寶貝！
There is a sign here which indicates that this is Tiny's Used Spaceship Lot.	這裡有塊招牌，寫著這是「小不點的二手太空船賣場」。
You can't.	你辦不到。
There is a sign here which indicates that this is Tiny's Used Space Ship Lot.	這裡有塊招牌，寫著這是「小不點的二手太空船賣場」。
There is a small, sturdy office here which unauthorized personnel are not allowed in.	這裡有間小巧堅固的辦公室，未經授權不得進入。
sale flags	促銷旗幟
There are some decorative banners which would seem to indicate that making a purchase at Tiny's can be a festive occasion.	這裡掛著一些裝飾用的旗幟，看起來在暗示，在小不點這裡買東西可以是件喜氣洋洋的事。
pink ship	粉紅色太空船
Who would paint their space ship pink? Anyway, it looks as if Tiny's using this old beast as a source for parts. It definitely won't fly.	誰會把自己的太空船漆成粉紅色啊？不管怎樣，看樣子小不點是把這艘老古董當零件庫在用，這艘船絕對飛不起來了。
green ship	綠色太空船
This ship is a real classic - a WalWood WarpBlaster ZX with the original paint job. You've only seen these on old postcards. Too bad it belongs to one of the bar patrons and isn't for sale.	這艘船可是貨真價實的經典——一台原廠塗裝的「沃伍德曲速衝擊者 ZX」。你以前只在老明信片上見過這種船。可惜這艘是酒吧某位常客的，不賣。
distant ships	遠方的太空船
You see two ships in the northern part of Tiny's used spacecraft lot.	你看到小不點的二手太空船場北邊，停著兩艘船。
force field sensor	力場感應器
The settlement of Ulence Flats is surrounded by these force field generators. They repel such undesirables such as the grell which thrive below the sands. It will allow only airborne vehicles in or out.	尤倫斯荒原這個聚落，四周都是這種力場發電機圍著。它們會把格瑞爾這種在沙地底下大量繁殖的討厭東西擋在外面，只放飛行載具進出。
Impossible to miss is the incredibly rotund owner, Tiny. The jaw jockey is most certainly an unusual-looking being. He looks very much like a fish who has swallowed its fishbowl.	想不注意到都難——那位胖到不可思議的老闆，小不點。這位「嘴上功夫王」絕對是個長相奇特的傢伙，看起來活像一條把自己的魚缸整個吞下去的魚。
"I've got a coupl'a other fine ships just to the north of here. Whad'ya say, sport. Shall we go give 'em a gander?"	「我北邊那還有幾艘不錯的船喔。怎麼樣，老兄，要不要過去瞄一眼？」
I'd like to take your money, pal. But, even I wouldn't sell you the same ship twice.	我是很想賺你的錢啦，老兄。不過就算是我，也不會把同一艘船賣你兩次。
"So, what are ya trying to pull? If you don't have the cash you can hit the road. Go on, get out of here. You're wasting my time!"	「你到底想搞什麼把戲？沒錢就滾一邊去。走啊，離開這裡。你在浪費我的時間！」
Thanks, pal. I don't know how long I've wanted one of these.	謝啦，老兄。我想要這玩意兒想很久了。
All riiiight! Is this that new Leisure Suit Larry movie?	太棒啦！這是那部新的「花花公子萊瑞」電影嗎？
That's real cute. Now can we discuss buying a spaceship? I'm only here to serve you. Talk to me.	有夠可愛的。現在可以來談談買太空船了嗎？我在這裡就是要伺候你。說吧。
Hey! I'm not responsible. That ship was in A-1 shape when I sold it to you!! I swear it!!! Hey, wait a minute. That's not from any of MY ships. What are you tryin' to pull here?	喂！這不能怪我。我賣你的時候那艘船狀況好得很！我發誓！！！等等，這根本不是我賣的船上的東西。你到底想搞什麼鬼？
Sorry, bud. I only deal in space ships, not sand skimmers.	抱歉啦，老兄。我只做太空船生意，沙漠飛車不收。
Sorry, bud. I only deal in space ships, not itsy-bitsy jetpacks.	抱歉啦，老兄。我只做太空船生意，小小一個噴射背包我不收。
Lovely gadget - lovely. So are we gonna make a deal here?. Talk to me.	這小裝置真不錯——真不錯。那我們要不要來談個交易？說吧。
Sorry, pal, but I only take cash.	抱歉了，老兄，我只收現金。
There is a hole here. I'm sure you recall its origin. At the bottom is the fine craft you rode to glory in. There is no reason to explore the hole any further.	這裡有個坑洞，你應該記得它是怎麼來的。坑底躺著那艘帶你風光落地的座駕。沒必要再往這坑裡深究了。
You are standing near one of Tiny's used spacecraft. Upon close inspection they appear to have quite a few kilolightyears on them.	你站在小不點的一艘二手太空船旁邊。仔細一看，這艘船的里程數看起來已經跑了不少千光年了。
"Sorry, you can only fly it when you buy it.  Oh, by the way, there are no refunds either.  Company Policy."	「抱歉，買了才能開。喔對了，也不接受退費，公司規定。」
ship lid	太空船艙蓋
That's the lid that covers and protects you during flight (provided this thing does fly).	那是飛行時用來遮蔽保護你的艙蓋（如果這玩意兒真飛得起來的話）。
ship tail	太空船尾
This ship seems to have fins around its upper section. Quite a strange setup, but at least it's cheap.	這艘船的上半部好像裝了一圈尾翼，設計挺奇怪的，不過至少便宜。
It's the ladder you used to climb aboard your mole ship.	這是你用來爬上你那艘鼴鼠太空船的梯子。
You've got a deal!	成交！
It's a deal!	成交！
"Great!"	「太好了！」
alien wolf-creature	外星狼形生物
rocket sign	火箭招牌
sand skimmer	沙漠飛車
The settlement of Ulence Flats is surrounded by these force field generators. They repel undesirables, such as the Grell, which thrive below the sands. It will allow only airborne vehicles in or out.	尤倫斯荒原這個聚落，四周都是這種力場發電機圍著。它們會把格瑞爾這種在沙地底下大量繁殖的討厭東西擋在外面，只放飛行載具進出。
shuttle craft	太空梭
This appears to be a long-range shuttle, perhaps from a large starship. It looks vaguely familiar somehow.	這看起來是一艘長程太空梭，可能來自某艘大型星艦。不知怎麼地，你覺得有點眼熟。
pickle ship	酸黃瓜太空船
This ship is a real classic - a WalWood WarpBlaster ZX with the original paint job. You've only seen these on old postcards.	這艘船可是貨真價實的經典——一台原廠塗裝的「沃伍德曲速衝擊者 ZX」。你以前只在老明信片上見過這種船。
tall rocket ship	高聳的火箭船
This one's a genuine antique from the twenty-fourth-and-a-half century.	這艘可是二十四點五世紀的真品古董。
There is a rounded structure here with a door on one side. It is typical of some of the prefab structures constructed in frontier areas years ago.	這裡有棟圓形建築，一側開著門，是那種多年前在邊疆地區常見的預鑄式建築。
Rocket Bar's sign	火箭酒吧招牌
"Come on over here, pal. Wait'll ya see this!"	「過來這邊看看，老兄。等你看到這個就知道了！」
