Through the metallic lattice you glimpse still another hallway below.	透過金屬格柵，你瞥見底下還有一條走廊。
You find a small but heavy device affixed to the base of the Star Generator platform. It appears to be magnetic. That must be how the aliens upset the force field protecting the unit!	你在星辰產生器平台底座上發現一個小巧卻很沉的裝置，看起來帶磁性。外星人一定就是靠這玩意兒搞亂了保護裝置的力場！
upper support	上方支架
This is the upper support for the Star Generator when it is affixed to the pedestal.	這是星辰產生器固定在底座上時用的上方支架。
The base of the Star Generator research pedestal has apparently been trashed by the vandals who stole the Generator.	星辰產生器研究底座顯然被偷走裝置的那群傢伙砸得亂七八糟。
Now you know why you didn't have clearance for this place. You don't understand what most of this crap does. This thing looks like a giant speaker for the cosmos.	現在你終於知道自己當初為什麼進不了這地方——這堆東西大部分你根本看不懂在幹嘛。這玩意兒看起來像一個對著宇宙放送的巨型喇叭。
This thing looks like it came off the front end of an old Studebaker (or maybe the Batmobile). Anyway, it appears non-functional at this time. It was probably damaged in the heist.	這東西看起來像是從老式Studebaker汽車前端拆下來的（或者說像蝙蝠車）。反正它現在看起來是壞的，大概是那次搶劫時弄壞的。
The glass globe atop the console is inactive at this time. The mess of wiring inside reminds you of how your hair looks after a nap.	控制台上方那顆玻璃球目前沒有作用。裡頭亂糟糟的電線，讓你想起自己睡醒後的頭髮。
You are standing on the research platform where the Star Generator is... was mounted for testing.	你正站在測試用的研究平台上，星辰產生器本來是……應該說曾經是安裝在這裡做測試的。
This is a star chart. It was used for locating candidates to test the Star Generator on once the bulk of the development process was completed.	這是一張星圖，用來在研發大致完成後，找出可以拿星辰產生器來測試的候選星球。
This elevator must go up.	這台電梯只能往上。
This is one way to change your altitude.	這是換樓層高度的一種方法。
This monitor gives a readout about the ship's status. Only the lab scientist really knows... er... knew exactly what it monitored.	這台螢幕會顯示船艦狀態的讀數。只有那位實驗室科學家真的知道……呃，曾經知道……它到底在監測什麼。
A pair of viewing ports protrude from the materials testing device.	材料測試裝置上突出兩個觀察窗。
Pipes whose purpose is known only to the architect wrap around the upper back of the room.	房間後方上緣繞著幾根管線，用途大概只有設計師自己知道。
A designer conduit system runs through here. It carries the ventilation ducting as well as different type of wiring.	這裡有一套講究設計感的管線系統，裡面裝著通風管道和好幾種不同的電線。
thing in foreground	前方的東西
It appears to be some sort of wiring harness. You never cared much for electrical hardware.	這看起來是某種線束。你向來對電器零件沒什麼興趣。
round thing	圓形的東西
Who knows what this is.	天曉得這是什麼東西。
mouse thing	滑鼠裝置
This interesting device was used to test materials early in the project.	這個有趣的裝置在專案早期是用來測試材料的。
A relatively nearby star blazes.	附近有顆恆星正閃耀著光芒。
On the screen is some green dude you've never seen the likes of. He seems to be talking, but the audio is out in this area of the ship.	螢幕上有個從沒見過的綠色傢伙。他看起來在講話，但船艦這一區的音效系統壞了，聽不到聲音。
These guys look scary. But then, don't most other beings packing weapons?	這些傢伙看起來挺嚇人的。不過話說回來，扛著武器的傢伙誰不嚇人？
The architects must have been low on oxygen when they came up with the design scheme for this compartment. It's a giant tribute to an ancient, but still functional, control device.	設計這個艙室的建築師，想出這套配置圖時腦袋裡的氧氣一定不太夠。整個空間根本是在向一款古老、卻仍然堪用的控制裝置致敬。
Here, we have a nice chunk of floor space dedicated to a cursor control device named after an annoying rodent. What were they thinking?	這裡挪出好大一塊地板空間，就為了擺一個以討厭的囓齒動物命名的游標控制裝置——他們到底在想什麼？
The view screens offer a glimpse of the surroundings from outboard cameras. They came in handy during the testing phase of the Star Generator.	這幾面顯示螢幕能透過船外攝影機看到周遭環境，在星辰產生器的測試階段派上不少用場。
Big, phony wiring from the giant control devices attempts to complete the decorative effect.	從那些巨大控制裝置延伸出來的粗大假電線，想把整個裝飾效果湊齊。
This keyboard was used in the development of the Star Generator. It has since been placed here to be out of the way. It has no function.	這個鍵盤當初是用來研發星辰產生器的，後來就被丟在這裡眼不見為淨，現在完全沒有作用。
This is yet another in a long line of elevators in this game.. er.. ship.	這又是這款遊戲……呃，是這艘船上，一長串電梯裡的其中一台。
This light indicates that the elevator goes down and, when lit, its presence at this floor.	這盞燈表示電梯往下走；燈亮的時候，代表電梯目前就停在這一層。
bay door	艙門
open exposing the vast reaches of space	開啟後露出浩瀚無垠的太空
button pad	按鈕面板
This is the button pad for the bay doors below. The controls are located up here to minimize the chance of someone doing something stupid, such as pressing 'OPEN' while in the pod bay when wearing no pressure suit. YOU should be glad.	這是控制樓下艙門的按鈕面板。控制鈕特地裝在這裡，就是為了降低有人幹出蠢事的機率——比方說沒穿加壓服卻站在小艇艙裡按下「開啟」。你該慶幸這個設計。
The button is depressed. Aren't we all?	這顆按鈕已經按下去了——看起來挺消沉的。話說回來，誰不是呢？
You always meant to ask one of the technicians what this thing is. However, you procrastinated a bit too long in this case. It's either an ocean-in-a-bottle or a model of your stomach as the deadline draws near.	你一直想找個技師問問這到底是什麼東西，可惜這次拖得太久了。看起來不是裝在瓶子裡的一片海洋，就是死線逼近時你胃裡翻攪的模樣。
This is a keycard slot. Your bottom-of-the-foodchain-type clearance has always prevented you from attaining a keycard for this area, thus precluding your access to it without an escort. Good luck finding one now!	這是磁卡插槽。你那種食物鏈最底層的權限，一直讓你拿不到這一區的磁卡，所以沒人陪同就進不去。現在祝你好運，自己去找一張吧！
This button opens the bay doors below.	這顆按鈕可以打開樓下的艙門。
This button closes the bay doors below.	這顆按鈕可以關閉樓下的艙門。
This is a remote monitoring panel for some of the ship's systems. Attempts to understand their purpose always made your brain hurt, but you do know that glowing red isn't good. Especially since some of the stuff is connected to the reactor cooling system.	這是船上部分系統的遠端監控面板。你每次想搞懂這些東西的用途，腦袋就會痛，不過你知道亮紅燈絕對不是好事，尤其這些東西有些還接著反應爐冷卻系統。
These buttons are locked in position. It's probably just as well. You might live longer due to having no clue as to their purpose.	這些按鈕都被鎖死了，這樣或許也好——你搞不清楚它們的用途，說不定還能因此多活幾年。
This looks like something out of a Boris Karloid movie.	這東西的模樣，活像是從某部鮑里斯·卡洛夫演的老恐怖片裡搬出來的道具。
This is the steel stand for the odd globe.	這是那顆怪玻璃球的鋼製底座。
More pipes run around the upper perimeter of this area.	這一區的上緣還繞著更多管線。
space suit	太空裝
A space suit hangs in the closet. It won't be used by anyone else on the ship anymore.	衣櫃裡掛著一套太空裝，船上再也不會有別人穿它了。
It's a fish bowl - no, it's a space suit helmet!.	這是個魚缸——不對，是太空裝的頭盔！
elevator light.	電梯燈號。
This elevator indicator points up.	這個電梯指示燈指向上方。
big door.	大門。
These large red doors serve as the airlock entrance which empties out to the pod bay.	這幾扇紅色大門是氣密艙的入口，通往逃生艇艙房。
A small drawer is located just beneath a button.	按鈕下方就是一個小抽屜。
closet door	衣櫃門
The image on the closet door looks familiar, but you can't quite place it.	衣櫃門上的圖案看起來眼熟，但你一時想不起來是什麼。
Flashing lights adorn this strange yet familiar-looking console.	這個既陌生又眼熟的控制台上，點綴著閃爍的燈光。
It doesn't do anything but it sure looks cool.	它沒什麼實際功能，不過看起來真的很酷。
This is another elevator door. This one goes up.	這是另一扇電梯門，這台是往上的。
The control panel has many confusing gauges on it. The only one you can read says "CAUTION: LAUNCH BAY DECOMPRESSED!"	控制面板上有一堆看不懂的儀表，你唯一看得懂的一個寫著：「警告：發射艙已洩壓！」
There is a button above the rectangular object below.	下方那個長方形物體上面有一顆按鈕。
This button might have some function involving the adjacent doors.	這顆按鈕大概跟旁邊的門有點關係。
You notice a drawer and a button.	你注意到一個抽屜和一顆按鈕。
bay doors	艙門
The massive bay doors are tightly sealed.	這幾扇巨大的艙門封得死死的。
open wide leaving nothing but millions of kilometers of empty space between you and the very stars themselves	大大敞開，你和滿天星斗之間只剩下數百萬公里的太空
tightly sealed	封得死死的
pod door	逃生艇艙門
This is one of the Arcada's escape pods. You vaguely remember receiving some orientation on these when you joined the crew. Unfortunately, you were deep into research on sleeping with your eyes open and, hence, don't remember much.	這是阿寇達號的逃生艇之一。你隱約記得剛上船時有人跟你講解過怎麼用，不過那時你正忙著鑽研「張著眼睛睡覺」這門學問，所以沒記住多少。
These powerful Pyron Weezpump drives propel the pod.	這艘逃生艇靠的是強大的「派龍氣喘幫浦」推進系統。
Even though we all know that the empty atmosphere of space would not permit this twinkling effect, you have to admit it looks nice.	雖然大家都知道太空的真空環境不可能出現星星閃爍這種效果，但你也不得不承認，看起來還挺美的。
Through the cabin window you can see an array of displays and controls inside the pod.	透過艙門的窗子，你可以看到逃生艇裡一整排顯示器和控制裝置。
Beyond the yawning doors lies the serenity of deep space.	敞開的艙門外，是一片深邃太空的寧靜。
There's that butt-ugly green guy again. Of all the systems destroyed thus far, you wish the teleview would have been one of them.	又是那個醜到爆的綠色傢伙。到目前為止被摧毀的系統裡，你真希望這台通訊螢幕也在其中。
A giant, silver, pill-shaped pod sits poised to fire, much like a bullet in the chamber of an ancient pistol.	一艘巨大的銀色膠囊狀逃生艇整裝待發，就像一顆填進老式手槍彈膛裡的子彈。
This lever causes forward propulsion of the pod when powered-up.	這根操縱桿在啟動電源後，可以讓逃生艇向前推進。
Roger	羅傑
There doesn't seem to be enough room.	空間看起來不太夠。
seat belt	安全帶
The seatbelt is dummy-tested, which ought to suit you just fine.	這條安全帶是用假人測試過的，這對你來說應該剛好合適。
Dials	儀表
Dials galore populate the instrument console of the pod cabin.	逃生艇艙裡的儀表板上，滿滿都是各式各樣的儀表。
This is the pod's instrument console. Dials, gauges, and a couple of controls fill out the board.	這是逃生艇的儀表板，上面擺滿了儀表、量表，還有幾個控制鈕。
Chair	椅子
