Let me out of here!\n(Quit)	放我出去！\n（結束遊戲）
The inside of the Arcada's escape pod is not exactly packed with luxurious appointments. However, when it comes to saving one's posterior, the pod's as good as a Rolls.	阿寇達號逃生艙的內裝說不上豪華，不過講到保住小命這件事，這艙可一點都不輸勞斯萊斯。
This is the northeast corner of the boneyard. Bones and sand dominate the scenery. At the east end of the vertebral path are two extremely pointed spurs of broken rib.	這裡是骨場的東北角，滿地都是骨頭與沙子。脊椎步道的東端有兩根斷裂的肋骨，尖得嚇人。
5ae"5?e$2"	5ae"5?e$2"
This appears to be the thoracic area of the spinal column of this meatless beast. Other than an obviously defective vertebra, you've got more sand and crud.	這裡似乎是這具沒了肉的野獸脊椎的胸椎部位。除了一節明顯有問題的脊椎骨，就只剩沙子跟髒東西。
A section of vertebra, near where the head used to be attached, extends north and south. To the east is the ominous-looking skull.	一段脊椎骨從原本接著頭部的地方往南北延伸，東邊是那顆看起來很不祥的頭骨。
This is just south of the gigundasaurus remains. Ligament jerky-deep in the joints is all that holds some of these incredibly huge skeletal components together.	這裡就在巨無霸恐龍遺骸的南邊。關節裡那些乾得跟肉乾一樣的韌帶，是撐住這些超巨大骨骼零件的唯一東西。
The cervical portion of the spinal column takes a dive into the sand right about here.	脊椎的頸椎部位，就在這附近一頭栽進沙子裡。
This is one end of what appears to be a large cavern. The only way to go is to the left.	這裡是一個大洞穴的一端，唯一能走的路是往左。
This is another large chamber in the underground complex. Paths run along the top and bottom ledges.	這裡是地底建築群裡的另一個大廳，上下兩層岩架都有路可以走。
vv9 93E\n\n:H	vv9 93E\n\n:H
You are in left-most room of this cavern. Standing sentinel at the juncture of the lower and upper pathways are two odd-looking units obviously placed there on purpose. %s.	你在這個洞穴最左邊的房間裡。在上下通道交會處，站著兩具造型古怪的裝置，看起來就是刻意擺在那裡站哨的。%s。
vc\n"0.	vc\n"0.
This place is most interesting, indeed. A mixture of both old and new technologies makes you wonder about its origin. Or at least about its tech support. On one side of the chamber is a primitive steam generator. Its pistons, pounding rhythmically, turn steam into useful energy. On the other side is what appears to be a computer console.	這地方還真有意思。新舊科技混雜在一起，讓你不禁懷疑起它的來歷——或者至少懷疑它的技術支援是誰在做。房間一側是一台原始的蒸汽發電機，活塞規律地敲打，把蒸汽轉換成能用的能源；另一側則是一台看起來像電腦主機的東西。
 Play 	 開始 
You are on Tiny's Used Spaceship lot. There are only a few interesting ships to choose from.	你站在小不點二手太空船行的場地上，這裡沒剩幾艘像樣的船可以挑。
Ulence Flats is a typical example of some of the frontier settlements that sprang up in the early days of Outer Zone exploration. Unfortunately, this attracted many unsavory quick-buckazoid types. Caution is advised.	尤倫斯荒原就是外圍星域探勘初期，那種邊疆聚落的典型代表。可惜這裡也吸引了不少想撈太空幣快錢的宵小之徒，行動請多加小心。
This is the back of the bar at the southeast corner of Ulence Flats.	這裡是尤倫斯荒原東南角酒吧的後面。
A bearded band is cranking out some of the more popular tunes in the quadrant	一支大鬍子樂團正賣力演奏著這個星域裡幾首比較紅的曲子
It's a "Slots-O-Death" slot machine. They play for keeps around here.	這是一台名叫「死亡吃角子老虎」的機台。在這裡玩，賭的可是真傢伙——輸了就真的要人命。
x|rd J&2=	x|rd J&2=
You are standing in the back part of Tiny's used space-craft lot.	你站在小不點二手太空船行的後半部。
This is the pickup area for Droids-B-Us.	這裡是機器人反斗城的提貨區。
You are outside the Droids-B-Us store.	你在機器人反斗城門口。
vv92vE\n\n:H	vv92vE\n\n:H
You're next to a large hatch in the side of this ship.	你站在這艘船側邊一道大艙門旁。
vv95zE\n\n:H	vv95zE\n\n:H
This room is similar to the storage room, with a large machine installed in one bulkhead.	這房間跟儲藏室很像，其中一面艙壁上裝了一台大型機器。
Rows of weapons on the wall tell you that you are in the Deltaur's Weapons Dispensary. There is a service droid behind the weapons counter.	牆上一排排的武器告訴你，這裡就是代爾它號的軍械室。武器櫃檯後面站著一具服務型機器人。
You're in a hallway on the upper level of the Deltaur.	你在代爾它號上層的一條走廊裡。
This is an interesting place. Strange devices decorate almost every area.	這地方挺有意思的，幾乎每個角落都擺著奇怪的裝置。
You are standing in the upper level of one of the Deltaur's hallways. You can't help but be impressed with the subtle decorating and color sense shown by the Sariens in their ship design.	你站在代爾它號某條走廊的上層。沙利安人在船艦設計上展現的「細膩」裝潢與配色品味，讓你不得不佩服。
This seems to be just another visually confusing hallway between someplace and someplace else aboard the Deltaur.	這裡似乎又是代爾它號上一條讓人眼花撩亂的走廊，介於某處跟另一個某處之間。
You don't really like the way the red floor and green walls clash but, all in all, its a pretty nice looking room.	你不太喜歡紅色地板配綠色牆壁那種衝突感，不過整體來說，這房間看起來還算順眼。
This is where the Sariens placed the Star Generator after lifting it from the Arcada.	沙利安人把星辰產生器從阿寇達號上偷走後，就放在這裡。
This is the control keypad, which is used to input instructions to the Star Generator.	這是控制鍵盤，用來對星辰產生器輸入指令。
You're in a brightly-colored hallway aboard the Deltaur. Two elevators dominate the upper level.	你在代爾它號一條色彩鮮豔的走廊裡，上層有兩座電梯特別醒目。
x9i9:vr	x9i9:vr
69:vr	69:vr
Although you've always had an appreciation for the gases of the universe, this one proved a bit overwhelming. It really was a great idea, though. However, you should have chosen a victim not so close to yourself. Better choice next time.	雖然你向來欣賞宇宙間各種氣體，但這次的分量顯然有點超出負荷。這其實是個好主意，只可惜你選的「目標」離自己太近了點。下次選遠一點吧。
\ndelete this saved game?	\n要刪除這個存檔嗎？
\nDirectory	\n目錄
?Rzx5	?Rzx5
Free Heap: %u Bytes\nLargest ptr: %u Bytes\nFreeHunk: %u KBytes\nLargest hunk: %u Bytes	Free Heap: %u Bytes\nLargest ptr: %u Bytes\nFreeHunk: %u KBytes\nLargest hunk: %u Bytes
6cfJ\n2"	6cfJ\n2"
