As you exit the ship, you carefully slide the jetpack on your back.	你走出太空船時，小心翼翼地把噴射背包揹到背上。
You would have to take your helmet off to do that and it's not a very good idea right now.	你得先脫掉頭盔才能這麼做，現在這麼做可不是什麼好主意。
You can't do that with a helmet on.	戴著頭盔沒辦法這麼做。
Your screams will do nothing in this airlock.	在這氣密艙裡，你怎麼叫都沒用。
That appears to have no noticeable affect on the panel.	這麼做對面板似乎沒什麼作用。
It appears to be some sort of high-tech fire droid.	這看起來是某種高科技滅火機器人。
There is nothing you can do to this droid. It's virtually indestructable.	你拿這機器人一點辦法都沒有，它幾乎是打不壞的。
If you could smell through your helmet you would know that this droid smells like smoke and fire.	要是頭盔能讓你聞到味道，你就會知道這機器人聞起來一股煙硝味。
Not out here.	在外面不行。
Intent on his cleaning duties, the little droid ignores your feeble attempts at a bribe.	這小機器人一心只顧著打掃，根本沒把你那沒誠意的賄賂放在眼裡。
The droid seems totally unconcerned with the data cartridge.	這機器人對資料匣完全沒興趣。
The widget and the droid do not appear to have any affect on one another.	小裝置和這機器人似乎彼此都沒有反應。
This robot is not equipped with speech circuits, therefore there's nothing to translate.	這機器人沒有裝語音電路，根本沒什麼好翻譯的。
He doesn't seem threatened, does he?	他看起來一點都不怕，對吧？
Somehow you doubt the droid would have need of water.	你怎麼想都覺得這機器人應該用不到水。
It's much to busy to spend time talking to the likes of you.	它忙得很，沒空跟你這種人閒聊。
The airlock door looks unfortunately thick and sturdy.	這氣密艙門看起來厚實又堅固，真不巧。
This door is designed to withstand the vacuum of space. I seriously doubt that you could do anything to it.	這扇門是設計來抵擋太空真空的，我很懷疑你能拿它怎麼樣。
The door smells much like other doors you have sniffed in the past.	這扇門聞起來跟你以前聞過的門差不多。
The taste of the door - ferrous metal with just the slightest nuance of industrial-strength bulkead polish - reveals no new insights.	這扇門嚐起來——鐵金屬的味道，帶點工業級艙壁亮光劑的淡淡氣息——沒讓你多懂什麼新東西。
Shouting for help would be useless at best and fatal at worst.	大喊求救，往好處想沒用，往壞處想會要你的命。
It appears to be a decontamination unit, something like the ones used to zap Andromedan cockroaches aboard the Arcada. You wonder what it's here for.	這看起來是一台除污裝置，跟阿寇達號上用來電死仙女座蟑螂的那種很像。你很好奇它擺在這裡幹嘛。
Touching these things can be hazardous to your health.	碰這些東西對你的健康可能有害。
Ozone. Definitely ozone.	臭氧味，絕對是臭氧味。
After seeing what a decontaminator can do to an unwary cockroach, you've never had the least desire to lick one.	看過除污裝置怎麼對付一隻沒注意的蟑螂之後，你從此對舔這種東西完全沒有興趣。
You really don't want to attract its attention.	你真的不會想引起它注意。
That just doesn't seem to work here.	這招在這裡似乎不管用。
Well it looks like you won't be using that unit again.	看樣子這台裝置你是沒機會再用了。
Your overheating backpack lies smoking on the floor - you hope that it doesn't explode.	你那過熱的背包正冒著煙躺在地上——你只希望它別爆炸。
It's pretty much useless. No sense in wasting your time on it now.	這東西差不多沒用了，現在浪費時間在它身上不值得。
You don't want to go near it. It may explode.	你可不會想靠近它，它可能會爆炸。
The jetpack is soaked in foam fire retardant. I'd pass if I were you.	這噴射背包整個泡在滅火泡沫裡，換作是我就不會碰它了。
You can't vent your suit enough to do that in the airlock.	在這氣密艙裡，你的太空裝洩壓不夠，沒辦法這麼做。
You can't taste anything from here.	從這裡你什麼味道都嚐不到。
You can talk to it all you want, but it's still damaged beyond repair.	你要跟它講什麼都行，反正它已經壞到沒得修了。
The only item that might be useful is a blow dryer and you don't have one.	唯一派得上用場的東西是吹風機，可惜你身上沒有。
The only item that would be of any use right now would be a fire extingisher and you don't seem to have one right now.	現在唯一有用的東西是滅火器，看來你手邊沒有。
This seems to be some sort of special door control panel. It seems to require some sort of special keycard which you obviously don't have. You'll need to try something else.	這看起來是某種特殊的門禁控制面板，似乎需要一種特殊磁卡才能用，而你顯然沒有。你得換個辦法試試。
You would have to take off your helmet to do that. It's a poor idea at this time.	你得先脫掉頭盔才能這麼做，現在這麼做可不太妙。
Your screams will do nothing but let the Sariens know you're here.	你怎麼叫都沒用，只會讓沙利安人知道你在這裡。
You are in some sort of storage room.	你人在某個儲藏室裡。
You are in some sort of storage room. A large trunk occupies the center of the room. Perhaps one of the little Sariens is away at Enemy Eviscerating Training Camp.	你人在某個儲藏室裡，房間正中央擺著一個大箱子。也許哪個沙利安小兵正在「敵人開膛訓練營」受訓吧。
The vent grill is now open.	通風柵欄現在開了。
An air shaft protrudes from the wall above your head. It's covered by a vent grill.	頭頂上方的牆壁伸出一根通風管，上面蓋著一片通風柵欄。
You can't reach the vent and besides, you don't need to climb through the vent now that you have a Sarien uniform on.	你搆不到通風口，而且你現在穿著沙利安人制服，也用不著爬通風管了。
The vent is already open.	通風口已經開著了。
Standing in the open trunk won't give you any height advantage.	站在打開的箱子裡，高度也沒有增加多少。
It's already moved.	已經搬過了。
The trunk on the floor appears to be open. It looks big enough to hold a body.	地上這個箱子看起來是開著的，大小裝得下一具身體。
The trunk is unremarkable in every way.	這箱子怎麼看都平平無奇。
You don't need to mess with the trunk now.	現在不用再去弄這箱子了。
Your hands by themselves are incapable of opening it.	光靠你的手，打不開這個。
You feel a fresh breeze coming through the grill of the vent. If you were a lot taller, you could touch the grill itself.	你感覺到一陣涼風從通風柵欄吹來。要是你再高一點，就能摸到那片柵欄了。
It sounds like someone (or something) is approaching.	聽起來有什麼人（或什麼東西）正在靠近。
You hear footsteps approaching and they're getting close. You might only have seconds to do something!	你聽到腳步聲越來越近，可能只剩幾秒鐘可以行動了！
Bingo! He got you. You might consider not being around when these guys are shooting. Those things hurt.	中獎了！他打中你了。下次這些傢伙開槍時，你最好別待在附近，那東西打下去很痛的。
This is the ventilation system for the Deltaur. Around you, you can see ventilation shafts running in three different directions. A ladder provides access to all three directions. At the end of the shaft in the middle, you see a ventilation grill.	這裡是代爾它號的通風系統。你四周可以看到通風管往三個方向延伸，一座梯子連接這三個方向。正中間那條通風管的盡頭，你看到一片通風柵欄。
This is the ventilation system for the Deltaur. Around you, you see the ventilation shafts running in two directions with a ladder leading from one shaft to the other.	這裡是代爾它號的通風系統。你四周可以看到通風管往兩個方向延伸，一座梯子連接這兩條通風管。
Ouch! That grill is stuck tight. Its going to take more than that impervious head of yours to knock it open.	唉唷！這片柵欄卡得死緊，光靠你那顆刀槍不入的頭，可打不開它。
With a mighty (wimpy) kick you manage to hurt your foot. However, the vent grill opens.	你狠狠踹了一腳——其實遜斃了——成功把自己的腳踢得半死。不過，通風柵欄總算開了。
You are not close enough to the vent grill to open it.	你離通風柵欄不夠近，打不開它。
This is a vent grill which appears to lead to another room on the Deltaur. It appears to be closed.	這是一片通風柵欄，看起來通往代爾它號上的另一個房間，目前是關著的。
This is the vent grill you pried open to get in here.	這就是你撬開、鑽進來這裡的那片通風柵欄。
Nothing like a nice tongue load of dust.	沒什麼比舌頭上沾滿灰塵更棒的了。
It smells dusty.	聞起來一股灰塵味。
That doesn't help.	這樣沒用。
The little buggers are too fast.	這些小東西動作太快了。
It's just a ladder. Go crazy.	就只是一座梯子，你想爬就爬吧。
It's an interesting device. Two upright parallel tubes connect many shorter rungs spaced at regular intervals allowing one to change their elevation in a positive or negative direction.	這是個挺有意思的裝置：兩根直立平行的管子，中間連著許多間隔均等的短橫桿，讓人可以往上或往下改變自己的高度。
It tastes like smoething that might have been stuck to boot bottoms.	嚐起來像是黏在鞋底上的什麼東西。
That's not effective here.	這招在這裡不管用。
It's served its purpose already.	它已經完成任務了。
On the floor sits the trunk you rode here in.	地上放著你搭來這裡的那個箱子。
The vent grill is open. Its pattern, however, is permanently engraved upon your memory and your foot.	通風柵欄開著。不過它的紋路，已經永遠刻進你的記憶——還有你的腳裡了。
This is another vent grill.	這是另一片通風柵欄。
You don't need to bother with the vent now.	現在不用再管這通風口了。
Ahh! You've apparently acquired a taste for dust. I'll bet you're going to miss it when the game is over.	啊！看來你已經愛上灰塵的味道了。我敢打賭遊戲結束後你會很想念它。
It only makes you sneeze.	這只會讓你打噴嚏。
Behind the glass door of the machine, you can see a load of dirty Sarien uniform components.	透過機器的玻璃門，你可以看到一堆髒兮兮的沙利安人制服零件。
In the machine area are your old duds. Good thing you got rid of them. You'd be awfully conspicuous in them.	機器那邊放著你的舊衣服。還好你把它們甩掉了，穿著那些衣服，你可會顯眼得不得了。
No way would you consider repeating the experience.	你才不會想再經歷一次那種事。
See the nose message.	參見「鼻子」的訊息。
You're doing it again - clicking cursors on things to get funny messages. Stop that - this is a serious game!	你又來了——到處點滑鼠只為了看好笑的訊息。別鬧了，這可是一款嚴肅的遊戲！
That proves unfulfilling.	結果一點滿足感都沒有。
You don't need those. When, or should I say if, you get home, you can buy some new ones.	你不需要那些東西。等你回家的時候——或者該說「如果」你回得了家——再買新的就好。
Old fabris softener sheets rest on the floor here.	地上散落著幾張舊的衣物柔軟片。
Old fabris softener sheets rest on the floor here. Hey! There's an ID card there also.	地上散落著幾張舊的衣物柔軟片。嘿！那邊還有一張識別卡。
Your tongue is now wrinkle and static free.	你的舌頭現在不皺也不會有靜電了。
They smell spring fresh.	聞起來有股春天般的清新味。
That of no use.	那沒什麼用。
You can't do that from in here.	你待在這裡面，沒辦法這麼做。
Now, this is truly unpleasant. You're definitely seeing more than you want to. Check out those incredibly ugly boxers!	這下真的很尷尬了。你看到的東西絕對超出你想看的範圍。瞧瞧那條醜到爆的四角褲！
Uh, oh! It's one of those Sarien dudes you saw on the Arcada monitors. You might be in deep stuff now.	糟了！這就是你在阿寇達號監視器上看到的那種沙利安傢伙。你這下麻煩大了。
There's no need to go through that again!	沒必要再經歷一次那種事了！
