 Sarien	沙利安人
"Don't let appearances fool ya. This baby may be a relic, I mean, a classic, but she's as dependable as the day we got her. And just think, you'll be the only one in the quadrant with one. I guarantee it!"	「別被外表騙了。這寶貝雖然有點年紀，我是說，算是經典款啦，但她可靠得跟我們剛拿到她那天一模一樣。你想想看，整個星區就你有這一台，我掛保證！」
She's a beaut, isn't she? This little baby can do a spin around the planet in just under an hour. Look at the lines in that body work. They just don't make 'em like this any more, ya' know what I mean?  And she's a real bargain at 185 buckazoids.	她很漂亮吧？這小妞繞行星一圈不用一個鐘頭。你看看那車身線條，現在已經沒人做得出這種貨色了，你懂我意思吧？才185枚太空幣，真的划算。
"I tell ya, I think you've made a wise decision. She's a beauty. The keys are in her. If you have any problems don't hesitate to come back and tell us about 'em."	「老實跟你說，我覺得你這個決定很明智。她漂亮得很，鑰匙就插在裡面。有什麼問題儘管回來跟我們說一聲。」
"It's been a heckuva pleasure doin' business with you. Oh, by the way, you're gonna need a droid to help you fly that thing. Well, good luck. Come again."	「跟你做生意真是一大樂事。對了，你會需要一台機器人才能幫你開那玩意兒。祝你好運，歡迎再來。」
"It's been a heckuva pleasure doin' business with you. Well, good luck. Come again!"	「跟你做生意真是一大樂事啊。祝你好運，歡迎再來！」
You proudly climb into your new used spacecraft. There is definitely something unique about it.	你得意洋洋地爬進你那艘全新的二手太空船，這艘船確實有種說不出的獨特之處。
You turn the key excitedly.	你興奮地轉動鑰匙。
There is a sign here which indicates that this is Tiny's Used Space Ship Lot.	這裡有塊招牌，寫著這是「迷你的二手太空船賣場」。
There are some decorative banners which would seem to indicate that making a purchase at Tiny's can be a festive occasion.	這裡掛著一些裝飾用的旗幟，看起來在暗示，在迷你這裡買東西可以是件喜氣洋洋的事。
There is a hole here. I'm sure you recall its origin. At the bottom is the fine craft you rode to glory in. There is no reason to explore the hole any further.	這裡有個坑洞，你應該記得它是怎麼來的。坑底躺著那艘帶你風光落地的座駕。沒必要再往這坑裡深究了。
"Sorry, you can only fly it when you buy it. Oh, by the way, there are no refunds either. Company Policy."	「抱歉，買了才能開。喔對了，也不接受退費，公司規定。」
"Fine. Be that way."	「好啊，隨便你。」
"Glad we could do business. I'll just take that key. Thank you kindly. Hope your stay in Ulence Flats is an interesting one."	「很高興能跟你做成生意。鑰匙就給我吧，謝啦。祝你在尤倫斯荒原玩得愉快。」
"Glad we could do business. Hope your stay in Ulence Flats is an interesting one."	「很高興能跟你做成生意。祝你在尤倫斯荒原玩得愉快。」
"Say there, pal. It's come to my attention that you're in the market for some transportation."	「嘿，朋友。我聽說你正在找代步工具啊。」
"I may be able to help. If you'll follow me, I'd like to show you a fine little piece of machinery that'll knock your eyes out."	「說不定我能幫上忙。跟我來，我帶你看一台會讓你嚇到說不出話的好機器。」
This being is about the size of a humanoid but has some odd features. He seems to have a friendly-looking mug.	這傢伙體型跟人形生物差不多，但長得有點怪。他那張臉看起來還算和善。
My, my. It would appear that your skimmer has become the property of another. I wonder who forgot to remove the key?	哎呀哎呀，看來你的沙漠飛車已經變成別人的財產了。真不知道是誰忘了把鑰匙拔起來呢？
He just wants your buckazoids but will take your life if he has to.	他只想要你的太空幣，但必要的話他會要你的命。
"Hold it right there, pal! This is a stick-up! I'll just relieve you of your cash, thank you very much."	「站住別動，老兄！這是搶劫！你的錢，我就不客氣收下囉，謝啦。」
"Well, you've got to be leaving now. Go straight back the way you came in. Deviate from that path and you're Grell kibble!"	「好了，你該滾了。原路給我直直走回去，敢亂繞路，你就等著變格瑞爾的飼料吧！」
The mugger impresses upon you that he was quite serious.	那個搶匪讓你清楚感受到，他是玩真的。
"Well, there's a man with a good eye. This here is the keenest little scrambler in the hemisphere. Top of the line. Handles like a charm. Perfect for cruising the asteroid fields."	「唷，真有眼光啊。這台可是這半球裡數一數二犀利的飛船，頂級規格，操控起來順到不行，最適合在小行星帶裡巡航了。」
"And she's got all the thrust a guy could need. I tell ya, she's an outright steal at 214 buckazoids."	「她的推力更是應有盡有。老實跟你說，214枚太空幣根本是白撿的價錢。」
You are floating in space just outside the biggest darn spaceship you've ever seen. You see a door. Perhaps it is a way in?	你正漂浮在太空中，就在你這輩子看過最誇張的一艘太空船外面。你看到一扇門，也許是個入口？
Roger Wilco	羅傑·威爾科
It appears to be an electronic slot machine.	看起來是一台電子吃角子老虎機。
There are a couple of non-galactic looking humanoids cranking out some unfamiliar sounding tunes. They seem interested solely in the music they are performing.	有兩個看起來一點都不像外星人的傢伙，正賣力演奏著讓人聽不慣的曲子。他們似乎只在乎自己演奏的音樂，其他一概不管。
"So, I head toward it, ya see, and right there in front of me sits the Deltaur. It's just sittin' there. My hearts start hyperwarping on me."	「所以，你知道的，我就朝那邊飛過去，結果代爾它號就這樣停在我正前方，動也不動。我那幾顆心臟當場就開始超速狂跳。」
"I figure my milliseconds are numbered. All I can think of doin' is getting my craft outta there. So, I'm reachin' for the throttle."	「我當下就知道自己命不久矣，毫秒都嫌多。我腦子裡只想著趕快把船開走，於是伸手就去抓油門。」
"All of a sudden there's this incredible flash of light, ya see. And just like that this little planetoid explodes into a ball of fire! I tell ya, I've never seen anything like it. I mauled the throttle and got outta there quick you bet."	「突然間一道強光閃過，你知道嗎？下一秒那顆小行星就直接炸成一團火球！我跟你講，我這輩子沒見過那種場面。我死命踩下油門，這才逃了出來，你放心。」
You feel a strange tingling sensation. The taste of the beer doesn't seem to be bothering you so much now, hee, hee.	你感覺到一陣怪異的刺麻感。啤酒的味道現在好像沒那麼難以下嚥了，嘿嘿。
The sweeper is a small motorized device which scans the floor for debris and removes it within moments of detection. There is nothing special about it, otherwise.	這台清掃機是一個小型電動裝置，會掃描地板上的雜物，一偵測到就立刻清除。除此之外，沒什麼特別的。
On stage are two heavily-bearded gents and a relatively clean-shaven drummer. They're one of the hottest bands in the quadrant.	舞台上有兩個大鬍子先生和一個算是有刮鬍子的鼓手。他們可是這個星區裡數一數二紅的樂團。
  Kerona	柯羅娜星
  Tough Luck   	算你倒楣
 It's Hopeless 	沒救了
   Eat Sand    	去吃沙吧
 Suck Methane  	去吸甲烷吧
   So Sorry    	真可惜
 Not A Chance  	想都別想
Cartridge	資料匣
Gadget	小裝置
Orat Part	歐拉特部位
Jetpack	噴射背包
Survival Kit	求生包
Dehydrated Water	濃縮水
Plant	植物
