Special	特殊
Looking at the wall you see shelves full of data cartridges which can only be removed by the retrieval unit.	你看向牆上，架子上擺滿了資料匣，只能靠擷取裝置才能取出。
The table is used for holding things above the floor.	這張桌子的用途，就是讓東西不必放在地上。
He certainly looks dead.  Do you get off on checking out stiffs?	他看起來的確死透了。你是很愛檢查屍體嗎？
Welcome to the	歡迎來到
Arcada Data Archive	阿寇達號資料庫
Model DX Storage and Retrieval System	DX 型儲存擷取系統
To select a cartridge enter the title	如欲選擇資料匣，
below.	請於下方輸入標題。
(Title Catalog available with Top	（完整片單僅限持有最高
Security Clearance only)	安全許可權限者查閱）
Title : 	標題： 
Searching ...	搜尋中……
Title Found. . .Retrieving	找到標題……擷取中
Title Not Available	查無此標題
Press <Enter> to quit	按 <Enter> 離開
It looks much like many other chairs you have seen in your lifetime.	這張椅子跟你這輩子看過的椅子沒什麼兩樣。
You don't have time to be sitting around.	你可沒空坐在這裡發呆。
There is no time for that. The alien attackers are on their way.	沒空做那種事，外星攻擊者已經在路上了。
He won't be needing it anymore.	他已經用不到那個了。
It's a grisly sight. There is nothing you can do for him now.	畫面實在慘不忍睹，你現在也幫不上他什麼忙了。
Pressing the keys seems to have no effect since you don't see the screen.	你根本看不到螢幕，按按鍵好像也沒什麼用。
That can't be done right now.	現在辦不到。
You don't have one of those.	你身上沒有那個東西。
Your search of the damaged body's pockets nets. . .	你搜索這具傷痕累累的屍體口袋，找到……
only some heat-fused chunks of varying sizes which were probably melted by a pulseray blast. Nothing to waste time on.	只有幾塊被脈衝射線熔成一團、大小不一的殘塊，八成是被燒熔的，沒什麼好浪費時間的。
Have some respect for the dying!	對快死的人放尊重點！
You see nothing that catches your eye.	沒有什麼東西特別引起你的注意。
This is another boring door.	又是一扇無聊的門。
I warned you, but noooooo! Did you listen?!	我都警告過你了，你就是不聽嘛！你到底有沒有在聽啊？！
You are startled by the sound of an alarm. It is followed by an urgent voice which warns that the Arcada has been boarded by unknown intruders. It abruptly ends.	一陣警報聲把你嚇了一跳。接著傳來一個急促的聲音，警告阿寇達號已被不明入侵者攻佔登艦。話還沒說完，聲音就突然中斷了。
Done.	完成。
You already possess that item.	你已經有那樣東西了。
The console consists of a screen, keyboard, and cartridge slot.  Atop it rests a Model DX Cartridge Retrieval Unit (currently bearing a cartridge).	這台主機由螢幕、鍵盤與資料匣插槽組成，上面擺著一台 DX 型資料匣擷取裝置（目前裝著一個資料匣）。
You see a man dressed in a lab coat. He appears to be ailing.	你看到一名穿著實驗袍的男子，他看起來病懨懨的。
Now that you have it you shouldn't be trying to get rid of it.	你都已經拿到了，就別想著要丟掉。
In his current condition, the man is not much of a conversationalist.	他現在這副模樣，可沒辦法跟你聊什麼天。
It is a Model DX Cartridge Retrieval Unit. It is used to retrieve cartridges. It is currently empty.	這是一台 DX 型資料匣擷取裝置，用來取出資料匣，目前裡面是空的。
It is a Model DX Cartridge Retrieval Unit. It is used to retrieve cartridges. It is currently holding a cartridge.	這是一台 DX 型資料匣擷取裝置，用來取出資料匣，目前裝著一個資料匣。
The slot appears to be about the size of a data cartridge. It is currently vacant.	這個插槽看起來剛好是資料匣的大小，目前是空的。
The alien observes his handiwork briefly, then leaves.	那名外星人打量了一下自己的傑作，接著就離開了。
This is one of the many hallways in the Arcada.	這是阿寇達號裡眾多走廊的其中一條。
You recognize this as your sanitation supply closet. You have spent many hours sleeping in it.	你認得這是你的清潔用品儲藏室，你在裡面睡掉了不少時間。
You have just stumbled into a small, dark, and very cluttered utility closet.  Many things fall, most of them landing on you. Doesn't say much for your cleaning prowess.	你一頭撞進一間又小又暗、亂七八糟的雜物間，一堆東西掉了下來，大半都砸在你身上。看來你的清潔功力也不怎麼樣。
You can't see anything in here because it is dark.	這裡一片漆黑，你什麼都看不見。
"Is it shipping yet? I want this thing shipping yesterday. I thought you said the graphics would be done last week?"	「東西出貨了沒？我恨不得它昨天就出貨。你不是說美術上星期就會弄完了嗎？」
The doors here are not particularly interesting.	這裡的門沒什麼特別的。
This is another one of your non-functional crewmates. It's a grisly sight.	這又是一位「故障」的組員，畫面實在慘不忍睹。
A quick search of the body turns up nothing.	你很快搜了一下屍體，什麼都沒找到。
That can't be done here.	這裡辦不到。
One can only wonder what your purpose for this action is. You can't undress the body. Allow him one last bit of dignity.	真不知道你在打什麼主意。你不能剝掉他的衣服，好歹留給他最後一點尊嚴吧。
Dave?  Dave's not here!	戴夫？戴夫不在這裡啦！
That is not seen easily from here.	從這裡看不太清楚。
Looking into the closet you see nothing but darkness.	你往儲藏室裡看去，只看到一片漆黑。
The door is closed, fool!	門是關著的啦，笨蛋！
This is the closed door to the closet you napped in.	這是你平常打盹的儲藏室的門，現在是關著的。
It looks dark in there.	裡面看起來黑漆漆的。
This door leads to the Data Archive.	這扇門通往資料庫。
You are in one of the Arcada's hallways near an elevator.	你正站在阿寇達號的一條走廊上，旁邊就是電梯。
This is an elevator to another level of the ship.	這是通往船艦其他樓層的電梯。
You search the body of your crewmate and find. . .	你搜索你組員的屍體，找到……
You take the keycard.	你拿走了磁卡。
You already have it.	你已經拿到了。
It appears to be one of your crewmates.  He is nonfunctional.	看來是你的一位組員，他已經「故障」了。
You have added to your pocket lint collection. How proud you must be.	你的口袋棉絮收藏又添了一件，你一定超驕傲的吧。
That can't be done from where you are standing.	你站在這個位置辦不到。
Unable to be tricked, you cleverly deduce that there are, indeed, walls in here. They are just your run-of-the-mill spacecraft interior walls.	你才不會被騙，很聰明地推斷出這裡真的有牆壁。就是那種再普通不過的太空船內牆。
Don't bother. Nothing of interest there.	別費心了，那裡沒什麼好看的。
You can see no elevator where you are.	你這個位置看不到電梯。
Nothing.	什麼都沒有。
This another hallway aboard the Arcada. There is an elevator door nearby.	這是阿寇達號上的另一條走廊，附近有一扇電梯門。
Sorry, due to your low security clearance you are not allowed access to this area.	抱歉，你的安全許可等級太低，不能進入這個區域。
That cannot be done from here.	在這裡辦不到。
There is no situation which calls for that action now.	現在沒有需要做那件事的情況。
The door is quite heavy and impossible for you to open. Your classification does not permit it.	這扇門相當沉重，你根本打不開。你的權限等級不允許。
A cursory glance indicates that this is a dead lab technician.	隨便一瞄就知道，這是一名死掉的實驗室技術員。
This appears to be a non-breathing research scientist.	看起來是一名已經沒有呼吸的研究科學家。
Good grief, man! You are a bit twisted, I must say.?	天啊，老兄！我得說你這人還真有點變態。
There is not much left of the door. Someone has blown it away.	這扇門幾乎沒剩下什麼了，看來有人把它炸飛了。
You see another boring door.	你看到又一扇無聊的門。
Are you serious?	你是認真的嗎？
You are too far away to get a good look.	你離太遠了，看不清楚。
The elevator leads to one of the upper levels.	這座電梯通往上面的某個樓層。
You see a body here. It is a formerly live crewmate.	你看到這裡有具屍體，曾經是一名活生生的組員。
Your search of the laser-riddled corpse reveals. . .	你搜索這具佈滿雷射傷痕的屍體，發現……
That can't be accomplished from here.	在這裡辦不到。
Taken.	拿走了。
