 uniform	制服
You plant your teeth into the strange plant and take a large bite, only to find it tastes exquisitely bad. If you had your choice you would choose any form of death over a meal of this.	你一口咬下這株奇怪的植物，才發現它難吃到一個境界。如果可以選，你寧願用任何一種死法，也不想再吃第二口。
No time to talk!	沒空聊天！
%m4now wearing the jetpack. A small control linkage snaps onto the back of your helmet allowing you to control it merely by focusing on where you want to go.	%m4裝上了噴射背包。一條細細的控制線接上你頭盔的後方，你只要專心想著要去哪裡，就能操控它。
%m4already wearing it.	%m4早就穿在身上了。
Due to its highly reflective coating you cannot see through the glass very easily, however, you do see a rather striking figure peering back at you.	因為表面反光太強，你沒辦法看穿這片玻璃，不過你倒是看到一個相當亮眼的身影正回頭看著你。
You place your lips to the nozzle and draw.  A fluid, not a very reasonable facsimile of water, is released slowly. While tasting slightly terrible, it quenches your thirst, at least for the time being.	你把嘴湊到噴嘴上吸了一口。一股液體緩緩流出，跟水比起來實在不太像樣。味道雖然有點糟，但至少暫時解了你的渴。
The can label says "Pelvitron's Dehydrated Water  (H2) - All you add is air!  Makes 10 gallons!"	罐子上的標籤寫著：「佩維創牌脫水的水(H2)——只要加空氣就好！可製成10加侖！」
"Directions - To use, simply drink from nozzle. Metered amounts will be dispensed.     Caution - Do not attempt to open or rupture! Misuse could result in personal injury and/or flash flooding."	「使用方法——直接從噴嘴喝即可，會自動控制份量。 注意——請勿嘗試打開或弄破本罐！誤用可能導致人身傷害，及／或瞬間淹水。」
Come to your senses, %s1. That couldn't help you at this time.	清醒一點，%s1。那現在幫不了你。
The regulator is just a curved, metal tube which mixes air with the can's contents and directs it to the nozzle.	這個調節器只是一根彎曲的金屬管，負責把空氣跟罐內的東西混合，再送到噴嘴去。
The nozzle is a flexible tube which senses suction and releases the water.	這個噴嘴是一根軟管，能感應吸力並釋放出水。
You just had a drink. You'd better ration your supply. This place is hot!	你剛喝過了。存量最好省著點用，這裡熱得很！
Sorry. Can't see an object right now. Try later.	抱歉，現在看不到這個東西，晚點再試試看。
There is no need to do that now.	現在不需要這麼做。
It wouldn't help to wear it since there is gravity here.	這裡有重力，穿上也沒用。
For more information refer to coupons enclosed in package.	詳情請參閱包裝內附的折價券。
Hello, %s1. I've been expecting you. You're obviously a person of dubious taste. Drop me a line at Sierra and let me know if you've enjoyed playing.	哈囉，%s1。我一直在等你。看得出來你的品味挺特別的。玩得開心的話，順便寫封信到 Sierra 跟我說一聲。
Sorry. This game is in a NO JUMPING zone.	抱歉，這款遊戲是「禁止亂跳」區。
You can't run.	你不能用跑的。
Don't be ridiculous!	別鬧了！
You raise the Orat part to your mouth and attempt to feast on it. Unfortunately for you it is composed mainly of bone. The small amount of flesh still clinging to the bone is incredibly rancid in flavor. You wisely give up on this idea.	你把那塊歐拉特的殘塊送到嘴邊，想飽餐一頓。可惜這玩意兒幾乎全是骨頭，黏在骨頭上那一丁點肉更是臭得要命。你很明智地打消了這個念頭。
You've already had your nap!	你已經睡過午覺了！
You talk to the sprawled corpse. Strangely, you get no response.	你對著倒在地上的屍體說話。說也奇怪，完全沒有回應。
Good grief, %s1! %m4a bit twisted, I must say.	我的天啊，%s1！%m4還真有點變態，不得不說。
There is no need to do that. Just drink from the nozzle.	不需要這麼做，直接從噴嘴喝就好。
That doesn't seem to be the correct action in this case.	這種情況下，這樣做好像不太對。
You stare into the semi-clear liquid and notice how it gives everything seen through it a lovely yellow tint.	你盯著這半透明的液體，發現透過它看東西，都會染上一層好看的黃色。
You possess %v124 buckazoid(s).	你有 %v124 枚太空幣。
%m7seem to be in your sight now.	%m7現在似乎都不在你的視線範圍內。
%m7appear to be here to view.	%m7好像沒有什麼好看的。
Are you sure you want to look at that?	你確定要看那個嗎？
%m7seem to be available at this time.	%m7現在似乎都用不到。
There is nothing here by that name which can be acquired.	這裡沒有那個名字的東西可以拿。
You can't obtain that here.	你在這裡拿不到那個。
Your legs will take you where you want to go (in most cases, anyway).	你的雙腿會帶你去想去的地方（大多時候啦）。
That's not the way to get there.	那樣去不了那裡。
That is not currently one of your options.	那現在不是你的選項之一。
How would you like to do that?	你想怎麼做？
That act would lack any serious gratification.	做這件事不會有什麼成就感。
You possess nothing that would help you accomplish this.	你身上沒有能幫你完成這件事的東西。
You can't find something you didn't lose.	你沒弄丟的東西，是找不到的。
You press the button on the remote control but notice nothing different.	你按下遙控器上的按鈕，但沒發現有什麼不一樣。
You learn nothing new through this act.	這麼做你什麼新東西都學不到。
%m8your request.	%m8你的要求。
%m7compute.	%m7完全兜不起來。
Say What?	你說什麼？
%m4currently wearing it.	%m4現在正穿著它。
You'll have to go there to do that.	你得先過去那裡才能這麼做。
You see a%m3 clad in red battle gear. You'd better hope it doesn't see you.	你看到一個穿著紅色戰鬥裝的%m3。你最好祈禱牠沒看到你。
There is no one else here.	這裡沒有別人了。
%m4already in possession of the card.	%m4已經拿到那張卡了。
Reaching into the pocket of the%m3%m2 you find a%m3 ID card.	你伸手探進%m3%m2的口袋，找到一張%m3識別卡。
You see no one of interest.	你沒看到什麼值得注意的人。
The Keycard or the I.D. card?	是磁卡，還是識別卡？
You don't seem to have that.	你好像沒有那個東西。
I'll bet you wish you still had that dehydrated water.	你現在一定很希望手上還有那罐脫水的水吧。
%m4very much in need of water now. Your future will be a thing of the past without it.	%m4現在非常需要水。沒有水，你大概沒有未來可言了。
You're dead, %s1. You have died of dehydration. Within a few hours, your gaunt corpse will have dried to a crisp, your powdered remains evenly distributed across the parched terrain by a searing gust.	你死了，%s1。你因脫水而死。用不了幾個小時，你乾癟的屍體就會曬成一片硬殼，一陣灼熱的風一吹，粉狀的殘骸就均勻灑滿這片乾裂的荒地。
F6 to fire Pulseray	按 F6 發射脈衝射線槍
Searching your pocket you find $%v124.	你摸了摸口袋，找到 $%v124。
In the pocket of this%m2 is an alien %m5card. The name on the card is Butston Freem. You wonder if this is a common%m3 name.	%m2的口袋裡有一張外星%m5卡，卡片上的名字是 Butston Freem。你很好奇，這是不是%m3常見的姓名。
There is an alien %m5card there.	那裡有一張外星%m5卡。
The heat is causing you to develop quite a thirst. A drink of water would certainly be most pleasant.	這股熱氣讓你渴得很。喝口水一定很舒服。
Sorry, you'll have to go back into the bar to do that.	抱歉，你得先回到酒吧裡才能這麼做。
Just lost your buckazoid object.	你把太空幣弄丟了。
Controller     <Ctrl J>	搖桿控制     <Ctrl J>
Sierra	Sierra
About SQ	關於 SQ
Help    	說明    
File	檔案
Save     <F5>	存檔     <F5>
Restore  <F7>	讀檔  <F7>
Restart  <F9>	重新開始  <F9>
Quit  <Alt-Z>	離開  <Alt-Z>
Action	動作
See Object  <F4>	查看物品  <F4>
Inventory  <Tab>	物品欄  <Tab>
