   Generator and the people of our	產生器與我們的宇宙
"Well, this is quite a unique little unit. Never been flown over Mach 3. It was owned by a little old lady from Glansadrom. You have to fly it to believe it. And she can be yours for only 99 buckazoids."	「哦，這台可是獨一無二的寶貝，從沒飛超過三馬赫，前任車主是格蘭沙德倫來的一位老太太，開過一次你就會信。只要 99 枚太空幣，這台就是你的了。」
"So whaddaya think? Is she a diamond in the rough, or what? And only 129 buckazoids."	「怎麼樣，覺得如何？這根本是一塊璞玉吧？只要 129 枚太空幣。」
"So how 'bout it partner? Can I interest you in anything here? Can we do business, or what? I'm at your service. Talk to me, chief."	「那怎麼樣，夥伴？這裡有什麼合你胃口的嗎？我們談得成生意嗎？我隨時奉陪，有話直說吧，老大。」
Of course, minus your 70 buckazoid credit that would come to 115 buckazoids.	當然啦，扣掉你 70 枚太空幣的抵扣額，這樣算下來是 115 枚太空幣。
You shell out the buckazoids and hop in. Anxiously, you fire it up and lift off.	你掏出太空幣付了錢，跳上飛船。你緊張地發動引擎，升空而去。
You are standing near one of Tiny's used spacecraft. Upon close inspection they appear to have quite a few kilometers on them.	你站在阿肥的一台二手太空船旁邊。仔細一看，這些船顯然都跑過不少里程了。
You are on Tiny's Used Spacecraft lot. There are only a few ships to choose from. Impossible to miss is the incredibly talkative, not to mention rotund, owner, Tiny. He is most certainly an unusual looking being.	你正站在阿肥的二手太空船場。這裡能挑的船不多，但絕對不會漏看的是老闆阿肥——超級愛講話，體型又渾圓。他絕對是個長相奇特的生物。
"So what are ya trying to pull? If you don't have the cash you can hit the road. Go on, get out of here. You're wasting my time!"	「你在耍什麼把戲啊？沒現金就滾一邊去。走啦，快點滾，別浪費我的時間！」
There is nothing here to buy.	這裡沒有可以買的東西。
"We have a motto. You don't mess with it - You don't die!"	「我們有句座右銘：別亂搞，就不會死！」
Off you go into the purple yonder.	你就這樣飛向那片紫色的遠方去了。
"Well, geez, guy! It seems it's developed some minor malfunction since we acquired it. We did have a small micro-meteroid shower the other day. Maybe that was it! Yeah, that was probably it."	「哎呀，天啊，老兄！看來我們收進來以後它出了點小毛病。前幾天是有一場小型微隕石雨啦，說不定就是那個搞的！對，八成就是那樣。」
"Much as I'd like to I can't refund your money. Company policy. It's out of my hands. However, I can give you seventy buckazoids credit on any other ship in our fine line of used spacecraft. Look around, see what you like."	「我也很想退錢給你，但公司規定不行，這不是我能作主的事。不過呢，我可以給你 70 枚太空幣的折抵額，換購我們這批優質二手太空船的任何一台。你四處看看，挑個喜歡的吧。」
What can be said that isn't seen? Tiny is a large, red skin-covered beast with the personality of a true salesman. Not a prime combination of traits.	有什麼是看不出來的呢？阿肥是隻皮膚紅通通的龐然大物，個性根本是天生的業務員。這種組合，實在稱不上討喜。
There is a small, sturdy office here which unauthorized personnel are not allowed in. It must be a brick ship house.	這裡有一間堅固的小辦公室，未經授權不得進入，看起來是這片船場的門面。
You don't own it.	那不是你的。
You're not close enough.	你離得不夠近。
You are standing against the protective barrier encircling Ulence Flats. Due to the fact that you are land-based you are not able to pass.	你正靠在圍繞尤倫斯荒原的防護屏障上。由於你是徒步行動，沒辦法通過。
Darn the luck, %s1. You've crashed in the dunes and ended your life. The various inhabitants of the Keronian desert are now feasting on what remains of you. Guess that wasn't such a hot purchase.	運氣真背啊，%s1。你墜毀在沙丘裡，一命嗚呼。柯羅娜沙漠裡的各路居民，現在正在你的殘骸上飽餐一頓。看來那台船買得不怎麼樣。
Tiny's not a great conversationalist. He just wants to sell, sell, sell.	阿肥不太會聊天，滿腦子只想著賣、賣、賣。
Stay out of the hole!	別靠近那個洞！
You can own only one ship at a time, town ordinance.	鎮上的規定是一次只能擁有一艘船。
Please remain seated and keep hands inside while the vehicle is moving.	車輛行進時請坐好，並將手留在車內。
You already have it!	你已經拿到了！
You aren't close enough.	你離得不夠近。
Welcome to Ulence Flats	歡迎來到尤倫斯荒原
Taken	已拿走
"Say, this is a genuine Falton sand skimmer. I've been looking for one just like it. I wonder if you would accept %v35 buckazoids?"	「嘿，這是一台正牌的法爾頓沙漠飛車，我一直在找這種款式。不曉得你願不願意收 %v35 枚太空幣？」
"Ok. This is my final offer and I'm only doin' it because you look like you need it pretty bad. I'll give you %v35 buckazoids and I'll throw in this swell jetpack. I only used it once. Works great in zero gravity. You'll love it. Is it a deal? Yes or no?"	「好吧，這是我最後的價碼了，會這麼開也是因為看你真的挺需要用錢。我給你 %v35 枚太空幣，外加這個超讚的噴射背包。我只用過一次，在零重力下超好用，你一定會愛上它。成交嗎？要還是不要？」
You're not on one, %s1.	你根本不在上面，%s1。
After a truly stone-crushing journey, you have miraculously arrived safely in Ulence Flats. And, just in time too, because the skimmer's power cell has been drained. It will take some time to recharge itself. This place isn't quite what you had expected. It is semi-bleak at best. 	經過一段顛得你骨頭快散的旅程，你奇蹟似地平安抵達尤倫斯荒原。而且來得正是時候，因為飛車的電池已經耗盡了，得花點時間才能自行充電。這地方跟你想像的不太一樣，說好聽點也只是半荒涼而已。 
"I really want a skimmer like this. Here's my offer and I'm only doin' it because you look like you need it pretty bad. I'll give you %v35 buckazoids and I'll throw in this swell jetpack. I've only used it once. Works great in zero gravity. Is it a deal or what? Yes or no?"	「我真的很想要這種款式的飛車。這是我的價碼，會這麼開也是因為看你真的挺需要用錢。我給你 %v35 枚太空幣，外加這個超讚的噴射背包，我只用過一次，在零重力下超好用。成交還是不成交？要還是不要？」
You are at the south edge of Ulence Flats. The area is protected from predators by an electronic barrier which runs around the perimeter of the settlement.	你站在尤倫斯荒原的南側邊緣。這一帶靠一道環繞聚落四周的電子屏障，防止掠食者入侵。
The sand skimmer is a one-passenger mode of transportation and it looks like it has skimmed quite a bit of sand in its time. On it is a panel which has a small readout, currently dark, and a keyhole with a key in it.	這台沙漠飛車是單人座的交通工具，看起來已經在沙地上跑過不少路了。上面有一個面板，裝著一個目前暗著的小顯示器，還有一個插著鑰匙的鑰匙孔。
There is a small rounded structure here with a door on one side. It is typical of some of the prefab structures used in frontier areas years ago.	這裡有一棟小小的圓形建築，一側開著門，是當年邊境地區常見的那種組合式建築。
Compared to some of the beings you've seen lately, this one looks fairly normal except for the fact that he seems to have a cylinder for a head.	跟你最近見過的一些生物比起來，這位算是相當正常了，只不過牠的頭似乎是個圓柱體。
The man is not interested in idle conversation. He's only interested in the skimmer.	這個人沒興趣閒聊，他只在乎那台沙漠飛車。
You have no way or reason to kill this being.	你沒有辦法、也沒有理由殺掉這個生物。
You are standing against the protective barrier encircling Ulence Flats. Due to the fact that you are land-based, you are not able to pass.	你正靠在圍繞尤倫斯荒原的防護屏障上。由於你是徒步行動，沒辦法通過。
He wants you to follow him.	他要你跟著他走。
The fresh air helps you snap out of the stupor which that foul brew was responsible for.	新鮮空氣讓你從那杯難喝飲料造成的恍惚中清醒過來。
Ulence Flats is a typical example of some of the frontier settlements that sprang up in the early days of the Outer Zone exploration several years ago. Unfortunately, this attracted many unsavory individuals looking to make a quick buckazoid. Caution is advised.	尤倫斯荒原是幾年前外域探勘初期冒出來的典型邊境聚落之一。可惜的是，這也引來不少想撈快錢的不三不四人物，建議小心行事。
Turning the key does no good since the skimmer was programmed to get here and go no further.	轉動鑰匙也沒用，這台飛車被設定成只能開到這裡，沒辦法再往前了。
There are couple of other craft here which might belong to the beings inside this building.	這裡還有幾台其他的飛行器，可能是這棟建築裡那些生物的。
The sand skimmer is a one-passenger mode of transportation and it looks like it has skimmed quite a bit of sand in its time. On it is a panel which has a small readout, currently dark, and a keyhole without a key in it.	這台沙漠飛車是單人座的交通工具，看起來已經在沙地上跑過不少路了。上面有一個面板，裝著一個目前暗著的小顯示器，還有一個沒插鑰匙的鑰匙孔。
